NOMBRE CIENTÍFICO;NOMBRE COMÚN;REINO;"ENDÉMICA
respecto de Chile
 
-- = No presente en Chile

? = dudoso";"DISTRIBUCIÓN REGIONES:
ANT= ANTARTICA
DV= DESVENTURADAS
IP= ISLA DE PASCUA
JF= Arch. JUAN FERNÁNDEZ
SG= SALAS Y GOMEZ
? = Sin datos o de presencia dudosa o requiere confirmación";Arica y Parinacota;Tarapacá;Antofagasta;Atacama;Coquimbo;Valparaíso continental;Metropolitana;O'higgins;Maule;Ñuble;Bío-Bío;Araucanía;De Los Ríos;De Los Lagos;Aysén;Magallanes continental e insular;Antártica;Isla Pascua;Salas y Gómez;Juan Fernandez;Desventuradas;"CATEGORÍA VIGENTE:
CR = En peligro crítico
DD = Datos insuficientes
EN = En Peligro
EW= Extinta en estado silvestre
EX = Extinta
LC = Preocupación menor
NT = Casi amenazada
R  = Rara
VU = Vulnerable";"ID
Inven
tario
Na
cio
nal";
Pseudocyphellaria dissimilis;liquen;Fungi;NO;II, XVI-VIII, X-XI;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;LC;;
Pseudocyphellaria divulsa;liquen;Fungi;NO;IX-XII;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;DD;;
Pseudocyphellaria dubia;liquen;Fungi;NO;IX, X-XII, JF;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;LC;;
Pseudocyphellaria flavicans;liquen;Fungi;NO;IX-XII, JF;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;DD;;
Pseudocyphellaria guzmanii;liquen;Fungi;SI;IX, X;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;EN;8372;
Pseudocyphellaria hirsuta;liquen;Fungi;NO;IV-XII, JF;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;DD;;
Pseudocyphellaria imbricatula;liquen;Fungi;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;;
Pseudocyphellaria imshaugii;liquen;Fungi;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;;
Pseudocyphellaria intricata;liquen;Fungi;NO;IV, XIII, XVI-XII, JF;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;0;0;1;0;LC;;
Pseudocyphellaria mooreana;liquen;Fungi;NO;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;;
Pseudocyphellaria neglecta;liquen;Fungi;NO;V, XIII, XVI, IX-XII;0;0;0;0;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;LC;;
Pseudocyphellaria nitida;liquen;Fungi;SI;VIII-XI, JF;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;LC;;
Pseudocyphellaria pluvialis;liquen;Fungi;SI;XVI-XI;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;DD;;
Pseudocyphellaria richardii;liquen;Fungi;NO;XIV, XI, JF;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;DD;;
Pseudocyphellaria skottsbergii;liquen;Fungi;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;;
Pseudocyphellaria valdiviana;liquen;Fungi;NO;IX-XI;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;DD;;
Pseudocyphellaria wandae;liquen;Fungi;NO;VII-X;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;DD;;
Pseudorca crassidens;falsa orca;Animalia;NO;XV-V, VI-XII, ANT?, IP?, JF?, SG?, DV?;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;sd;sd;sd;sd;sd;DD;2880;
Pseudorestias lirimensis;pez (genérico);Animalia;Si;I;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Psilopsiagon aurifrons;perico cordillerano;Animalia;NO;XV-VI;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;;
Psilotum nudum;;Plantae;NO;IP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NT;587;
Psoroma polychidioides anteriormente llamada Santessoniella polychidioides;liquen;Fungi;NO;IX, X, XII, JF;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;LC;;
Pteris berteroana;;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;VU;316;
Pteris chilensis;;Plantae;SI;V-X, JF;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;"VU (JF); LC (Chile continental)";588;
Pteris semiadnata;;Plantae;NO;VIII-XII, JF;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;"VU (JF); LC (Chile continental)";589;
Pterocactus australis; ;Plantae;NO;XI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;EN;1195;
Pterocactus hickenii; ;Plantae;NO;XI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;EN;1196;
Pterodroma cooki;fardela de Cook;Animalia;NO;Sólo oceánica, Ausente en islas chilenas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Pterodroma defilippiana;fardela blanca de Más a Tierra;Animalia;NO;XV-V, JF, DV;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;VU;151;
Pterodroma externa;fardela blanca de Juan Fernández, petrel de Juan Fernández;Animalia;NO;IP, JF, DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;EN;152;
Pterodroma longirostris;fardela de Más Afuera;Animalia;NO;XV-V, JF;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;153;
Pterodroma neglecta;fardela negra de Juan Fernández;Animalia;NO;XV-V, IP, JF, SG, DV;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;EN;154;
Pteroptochos tarnii;hued hued;Animalia;NO;VIII-XII;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;LC;4296;
Pterygiopsis foliacea;liquen;Fungi;SI;IV-RM, VIII, XIV-X,XII;0;0;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;DD;;
Ptychodon oculta;caracol terrestre Ptychodon;Animalia;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;220;
Ptychodon skottsberg;caracol terrestre Ptychodon;Animalia;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;221;
Pudu pudu;pudú;Animalia;NO;VII-XII;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;VU;17;
Puffinus nativitatis;fardela de Pascua;Animalia;NO;IP, SG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;VU;728;
Pulvinaria drimyswinteri;"escama blanda algodonosa del canelo; conchuela del canelo
";Animalia;Si;IX;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;LC;;
Puma concolor;puma;Animalia;NO;XV-XII;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;NT;18;
Punctelia reddenda;liquen (genérico);Fungi;NO;XV-XII;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;;
Punctelia subredecta;liquen (genérico);Fungi;NO;IV-X;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;LC;;
Punctum conicum;caracol terrestre Punctum;Animalia;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;222;
Punctum depressum;caracol terrestre Punctum;Animalia;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;223;
Puya boliviensis;;Plantae;SI;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;2706;
Puya chilensis;;Plantae;SI;IV-VI;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;;
Puya gilmartiniae;cardón, chagual, puya;Plantae;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Puya venusta;chagualillo;Plantae;Si;IV-V;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;263;
Pycnophyllopsis lanatum;no conocido;Plantae;SI;IV-V;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Pycnosiphorus lessonii;borrachito de Concepción;Animalia;No;VII-XI;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;"EN (XV-VIII);
LC (IX-XII)";;
Pygicera scripta;balita del maitén, bupréstido (genérico);Animalia;Si;IV-XIV;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;LC;;
Pygoscelis adeliae;pingüino de Adelia;Animalia;NO;ANT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;EN;;
Pygoscelis antarcticus;pingüino de barbijo, pingüino anillado, pingüino barbudo, pingüino rompepiedras, pingüino antártico;Animalia;NO;XII, ANT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;LC;;
Pygoscelis papua;papúa;Animalia;NO;XII, ANT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;LC;;
Pyrrhocactus confinis; ;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;1187;
Pyrrhocactus eriosyzoides;quisco de Huanta ;Plantae;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;517;
Pyrrhocactus heinrichianus;;Plantae;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;522;
Pyrrhocactus intermedius;quisquito de Chañaral;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;521;
Pyrrhocactus paucicostatus;pocas costillas;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;529;
Pyrrhocactus simulans;;Plantae;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;531;
Pyrrhocactus taltalensis;quisquito de Taltal;Plantae;SI;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;535;
Pyrrhocactus tuberisulcatus;;Plantae;SI;IV-V;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;520;
Rallus antarcticus;pidén austral;Animalia;NO;VI, IX, XI-XII;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;VU;708;
Ramalina striatula;liquen;Fungi;NO;IV-XII;0;0;0;0;1;1;1;1;1;sd;1;1;1;1;1;1;0;0;0;0;0;LC;;
Ranunculus caprarum; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;1173;
Rayenia malalcurensis;flor de corral de piedra;Plantae;SI;XIV;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;EN;;
Recurvirostra andina;caití;Animalia;No;XV-III;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Redonia chilena;liquen;Fungi;SI;II;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Rhaphithamnus venustus;juan bueno;Plantae;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN;;
Rhea pennata;ñandú;Animalia;NO;XV-III, XI-XII [R. p. tarapacensis XV-III] [R. p. pennata XI-XII]  ;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;"EN [R. p. pennata] [XI]; VU [R. p. tarapacensis]; VU [R. p. pennata] [XII]
";;
Rhincodon typus;tiburón ballena;Animalia;NO;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;taxón con presencia accidental en Chile;;
Rhinella arunco;sapo de rulo;Animalia;SI;IV-IX;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;VU;651;
Rhinella atacamensis;sapo de Atacama;Animalia;SI;II-IV;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;652;
Rhinella rubropunctata;sapo;Animalia;NO;IX-X;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;VU;653;
Rhinella spinulosa;"sapo espinoso;
Para Rhinella spinulosa papillosa:  sapo de papilas";Animalia;NO;XV-VII;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;LC;654;
Rhinoderma darwinii;ranita de Darwin;Animalia;NO;VIII-XI;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;EN;;
Rhinoderma rufum;ranita ;Animalia;SI;VI-VIII;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;CR;55;
Rhizoplaca aspidophora;liquen (genérico);Fungi;NO;XI, ANT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;"EN (Chile continental sudamericano);
LC (Chile continental antártico)";;
Rhizoplaca chrysoleuca;liquen (genérico);Fungi;NO;I-RM, XI, ANT;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;LC;;
Rhizoplaca melanophthalma;liquen;Fungi;NO;IV-XII;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;;
Rhodobryum chilense;;Plantae;SI;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Rhodophiala chilensis;;Plantae;SI;VII-XVI?, VIII, IX?;0;0;0;0;0;0;0;0;sd;sd;1;sd;0;0;0;0;0;0;0;0;0;NT;591;
Rhodophiala fulgens;;Plantae;SI;XIV-X;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;DD;592;
Rhodophiala laeta;;Plantae;SI;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;2881;
Rhodophiala pratensis;;Plantae;SI;II-IV, VII-VIII, X;0;0;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;VU;;
Rhodophiala tiltilensis;;Plantae;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;595;
Rhyncholestes raphanurus;comadrejita trompuda;Animalia;NO;X;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;VU;20;
Ribes integrifolium;parrilla falsa;Plantae;Si;VIII-IX;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;VU;596;
Robinsonia berteroi;resino hembra;Plantae;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;318;
Robinsonia evenia;;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;319;
Robinsonia gayana;resino hembra;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;320;
Robinsonia gracilis;resinillo;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;321;
Robinsonia macrocephala;Incienso;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EX;322;
Robinsonia masafuerae;;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;323;
Robinsonia saxatilis;robinsonia de las rocas;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;324;
Robinsonia thurifera;resino macho;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;325;
Roccellina cerebriformis;liquen;Fungi;NO;I-V;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;;
Roccellina mollis anteriormente llamada Roccella arboricola;liquen (genérico);Fungi;NO;II-X;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;VU;;
Roccellina portentosa anteriormente llamada Roccella portentosa;liquen;Fungi;NO;II, IV, V, VII-VIII;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;LC;;
Roccellinastrum spongoideum;liquen;Fungi;SI;I-IV;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Rumohra adiantiformis;yerba del Lagarto;Plantae;NO;IV, VIII-XII;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;LC;597;
Rumohra berteroana;;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;VU;326;
Russula austrodelica;hongo;Fungi;Si;VII, XVI?, VIII-XIV, X?;0;0;0;0;0;0;0;0;1;sd;1;1;1;sd;0;0;0;0;0;0;0;VU;;
Russula fuegiana;hongo;Fungi;?;VII, XVI?, VIII-XII;0;0;0;0;0;0;0;0;1;sd;1;1;1;1;1;1;0;0;0;0;0;LC;;
Salvia tubiflora;salvia roja;Plantae;NO;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;598;
Samastacus spinifrons;camarón de río del sur;Animalia;NO;V, VI-XI;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;LC;642;
Sanctambrosia manicata;;Plantae;SI;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CR;8298;
Santalum fernandezianum;sándalo de Juan Fernández ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EX;31;
Santessonia cervicornis;liquen;Fungi;SI;I;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Scelorchilus rubecula;chucao;Animalia;NO;VI-XII;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;4368;
Schinus marchandii;laura, molle;Plantae;NO;XI;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;VU;600;
Schizaea fistulosa;;Plantae;NO;XIV-XII;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;LC;601;
Schizanthus fallax;mariposita;Plantae;SI;XV-II;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Schizanthus laetus;mariposita;Plantae;SI;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;;
Schizanthus litoralis;planta (genérico);Plantae;Si;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Schizanthus nutantiflorus;mariposita;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Schizopetalon brachycarpum;nabillo, flor de clavel;Plantae;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Scirpus trachycaulos;;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EX;2883;
Sclerostomulus nitidus;borrachito;Animalia;SI;VI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;2765;
Scotobius planicosta;;Animalia;SI;I-III;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2773;
Scutellaria valdiviana;teresa;Plantae;SI;VII, VIII, XIV;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;EN;602;
Selkirkia berteroi;;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;327;
Selkirkia limense;no conocido;Plantae;SI;XVI-XIV;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;EN;;
Selkirkiella alboguttata;araña de carita feliz de Juan Fernández;Animalia;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;DD;;
Senecio balsamicus;;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2884;
Senecio davilae;no conocido;Plantae;SI;V-RM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;;
Senecio jungei;senecio ladudo;Plantae;SI;IV-V;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Senecio linaresensis; ;Plantae;SI;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN;926;
Senecio microtis; ;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;1067;
Senecio pycnanthus;;Plantae;SI;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Senecio ricardii;;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;2914;
Senna paposana;;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2915;
Sephanoides fernandensis;picaflor de Juan Fernández;Animalia;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;21;
Serpyllopsis caespitosa;;Plantae;NO;"XIV-XII [S. c. var. caespitosa];
JF [S. c. var. fernandeziana]";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;"EN [Serpyllopsis caespitosa var. caespitosa] (JF); 
EN [S. c. var. fernandeziana] (JF); 

LC  [S. c. var. caespitosa] (Chile continental)";603;
Simocybe olivaceiceps;seta olivácea (nomb. prop.);Fungi;NO;RM-IX;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;NT;;
Siphonolejeunea talinayi;;Plantae;Sí;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Solanum brachyantherum;;Plantae;SI;XV-III, DV;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"EN (DV); LC (Chile Continental)";8300;
Solanum fernandezianum; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;1174;
Solanum herba-bona;;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;2916;
Solanum lycopersicoides;tomate silvestre;Plantae;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-R;264;
Solanum pimpinellifolium;;Plantae;SI;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Solanum sitiens;tomate silvestre;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU-R;265;
Solaria miersioides;;Plantae;NO;IV, RM, VII-XVI;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;NT;604;
Sophora fernandeziana;mayu-monte, mayu del monte, madera dura;Plantae;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;;
Sophora masafuerana;pelú de Juan Fernández;Plantae;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;330;
Sophora masafuerana;leña dura, madera dura;Plantae;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;;
Sophora toromiro;toromiro ;Plantae;SI;IP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;EW;32;
Spalacopus cyanus;cururo;Animalia;SI;III-VII;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;LC;772;
Spatula platalea;pato cuchara;Animalia;NO;IV-XII;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;671;
Speculanas specularis;pato anteojillo, pato perro (Argentina y Chile), pato de anteojos, ánade anteojillo (español), spectacled duck, bronze-winged duck (inglés);Animalia;NO;VII-XII;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;NT;672;
Speea humilis;;Plantae;SI;V-VI;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;607;
Spergularia aberrans ;;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Spergularia confertiflora; ;Plantae;SI;JF, DV?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;VU;1175;
Spergularia masafuerana; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;1176;
Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Animalia;NO;XV-V, VI-X;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;EN;;
Spheniscus magellanicus;pingüino de Magallanes;Animalia;NO;IV-V, X-XII;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;NT;;
Squatina armata;angelote;Animalia;NO;I-XII;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;CR;;
Stenella attenuata;delfín manchado esbelto;Animalia;NO;XV?-V?, VI?-XII?, ANT?, IP?, JF?, SG?, DV?;sd;sd;sd;sd;sd;sd;0;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;DD;8164;
Stenella coeruleoalba;delfín listado;Animalia;NO;XV?-V?, VI?-XII?, ANT?, IP?, JF, SG?, DV?;sd;sd;sd;sd;sd;sd;0;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;1;sd;LC;804;
Stenella longirostris;delfín de pico largo;Animalia;NO;XV?-V?, VI?-XII?, ANT?, IP?, JF?, SG?, DV?;sd;sd;sd;sd;sd;sd;0;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;DD;805;
Steno bredanensis;delfín de diente áspero;Animalia;NO;XV?-I?, II, III?-V?, VI?-XII?, ANT?, IP?, JF?, SG?, DV?;sd;sd;1;sd;sd;sd;0;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;sd;LC;803;
